workload,arm,n_runs,n_correct,n_censored,n_failed,median_selected_latency_ms,bounded_oracle_ms,regret_pct,regret_vs_lfbo_pct,median_readiness_seconds,median_attempts,input_tokens_total,output_tokens_total,provider_requests
attention-2x8x4096x64,lfbo,5,5,0,0,0.430976003408432,0.21904000639915466,96.75675256467453,0.0,151.5242729570018,80,0,0,0
attention-2x8x4096x64,llm,5,5,0,0,0.25036799907684326,0.21904000639915466,14.302406757877772,-41.90674258038172,80.6105399549997,26,22370,3490,1
attention-2x8x4096x64,hybrid_lfbo_llm,5,5,0,0,0.22188800573349,0.21904000639915466,1.3002187961707046,-48.51499759182444,228.6523419790028,80,22370,3386,1
attention-2x8x4096x64,contextual_rag_llm,5,5,0,0,0.22204799950122833,0.21904000639915466,1.373261967766859,-48.47787400107391,84.79363347601611,26,22370,3379,1
attention-2x8x512x64,lfbo,5,5,0,0,0.02054399996995926,0.012575999833643436,63.35878054800661,0.0,100.51324919698527,80,0,0,0
attention-2x8x512x64,llm,5,5,0,0,0.01283199992030859,0.012575999833643436,2.035624125727953,-37.53894110654032,64.53389327699551,26,22375,2878,1
attention-2x8x512x64,hybrid_lfbo_llm,5,5,0,0,0.01283199992030859,0.012575999833643436,2.035624125727953,-37.53894110654032,189.7223910499597,80,22375,2853,1
attention-2x8x512x64,contextual_rag_llm,5,5,0,0,0.012736000120639801,0.012575999833643436,1.2722669299687128,-38.00622985171734,68.81280289002461,26,22375,2930,1
attention-2x8x8192x64,lfbo,5,5,0,0,1.0555200576782227,0.7849599719047546,34.46801053013404,0.0,206.07567948897486,80,0,0,0
attention-2x8x8192x64,llm,5,5,0,0,0.856112003326416,0.7849599719047546,9.06441525279391,-18.891924686910745,80.89066153898602,26,22370,3345,1
attention-2x8x8192x64,hybrid_lfbo_llm,5,5,0,0,0.8452159762382507,0.7849599719047546,7.676315543489576,-19.924214600200763,315.09105018299306,80,22370,3517,1
attention-2x8x8192x64,contextual_rag_llm,5,5,0,0,0.8432319760322571,0.7849599719047546,7.423563775628161,-20.11217883560883,86.0805817139917,26,22370,3401,1
fp8_attention-2x4x2048x64,lfbo,5,5,0,0,3.711103916168213,1.9086400270462036,94.43707894523664,0.0,152.59246242803056,80,0,0,0
fp8_attention-2x4x2048x64,llm,5,5,0,0,3.3569759130477905,1.9086400270462036,75.8831348749937,-9.542389841944022,71.59437824098859,26,23540,2615,1
fp8_attention-2x4x2048x64,hybrid_lfbo_llm,5,5,0,0,3.354864001274109,1.9086400270462036,75.7724847920155,-9.599297754559476,233.18961164099164,80,23540,2573,1
fp8_attention-2x4x2048x64,contextual_rag_llm,5,5,0,0,3.3456480503082275,1.9086400270462036,75.28963046457358,-9.847632244082394,71.27190994698321,26,23540,2460,1
fp8_attention-2x4x512x64,lfbo,5,5,0,0,0.21238400042057037,0.1475519984960556,43.93840990655771,0.0,89.68823829200119,80,0,0,0
fp8_attention-2x4x512x64,llm,5,5,0,0,0.21247999370098114,0.1475519984960556,44.003467161890875,0.045197981119415864,57.64668017497752,26,23515,2457,1
fp8_attention-2x4x512x64,hybrid_lfbo_llm,5,5,0,0,0.21247999370098114,0.1475519984960556,44.003467161890875,0.045197981119415864,151.42422541003907,80,23515,2518,1
fp8_attention-2x4x512x64,contextual_rag_llm,5,5,0,0,0.21241599321365356,0.1475519984960556,43.96009229202811,0.015063654992775177,68.62770906602964,26,23515,2447,1
fp8_attention-2x4x8192x64,lfbo,5,5,0,0,57.4310245513916,27.960911750793457,105.3975387614528,0.0,278.6791695569991,80,0,0,0
fp8_attention-2x4x8192x64,llm,5,5,0,0,63.11952018737793,27.960911750793457,125.74199564714394,9.904917560535642,96.3999842730118,26,23540,2532,1
fp8_attention-2x4x8192x64,hybrid_lfbo_llm,5,5,0,0,54.10097694396973,27.960911750793457,93.48788561029124,-5.798342678776369,365.7337923029554,80,23540,2614,1
fp8_attention-2x4x8192x64,contextual_rag_llm,5,5,0,0,63.19260787963867,27.960911750793457,126.0033880255905,10.03217925024369,99.96137089800322,26,23540,2686,1
gdn_fwd_h-b1h4s2048ds128,lfbo,5,5,0,0,0.023871999233961105,0.018112000077962875,31.802115344547175,0.0,137.39569254301023,80,0,0,0
gdn_fwd_h-b1h4s2048ds128,llm,5,5,0,0,0.021663999184966087,0.018112000077962875,19.61130240566298,-9.249330260759404,75.97872739698505,26,17865,3381,1
gdn_fwd_h-b1h4s2048ds128,hybrid_lfbo_llm,5,5,0,0,0.02006400004029274,0.018112000077962875,10.777384904635067,-15.951739761498395,203.0904166419641,80,17865,3416,1
gdn_fwd_h-b1h4s2048ds128,contextual_rag_llm,5,5,0,0,0.02038400061428547,0.018112000077962875,12.544172518456254,-14.611254740296287,89.48086561099626,26,26410,4646,1
gdn_fwd_h-b1h4s4096ds64,lfbo,5,4,0,0,0.03408000059425831,0.03094400092959404,10.134435013104849,0.0,136.12601817349787,80.0,0,0,0
gdn_fwd_h-b1h4s4096ds64,llm,5,4,0,0,0.036847999319434166,0.03094400092959404,19.07962193794306,8.122061845392704,70.79136300247046,26.0,17865,3431,1
gdn_fwd_h-b1h4s4096ds64,hybrid_lfbo_llm,5,4,0,0,0.032519999891519547,0.03094400092959404,5.093067847016064,-4.577466770941275,193.72656578049646,80.0,17865,3327,1
gdn_fwd_h-b1h4s4096ds64,contextual_rag_llm,5,4,0,0,0.03396000061184168,0.03094400092959404,9.746637770305956,-0.35211261832209795,84.36090836051153,26.0,26535,4813,1
gdn_fwd_h-b1h4s8192ds128,lfbo,5,5,0,0,0.0769599974155426,0.05379199981689453,43.06959711018528,0.0,137.3128389310441,80,0,0,0
gdn_fwd_h-b1h4s8192ds128,llm,5,5,0,0,0.07744000107049942,0.05379199981689453,43.9619299042638,0.6237053938100479,80.89700808899943,26,17865,3401,1
gdn_fwd_h-b1h4s8192ds128,hybrid_lfbo_llm,5,5,0,0,0.06083200126886368,0.05379199981689453,13.08745069142807,-20.95633665317894,209.5257292049937,80,17865,3542,1
gdn_fwd_h-b1h4s8192ds128,contextual_rag_llm,5,5,0,0,0.06304000318050385,0.05379199981689453,17.19215384274444,-18.08731120386904,95.23655734100612,26,26535,5150,1
grouped_gemm-g2m1024,lfbo,5,5,0,0,0.14921600371599197,0.07958400249481201,87.49497265574095,0.0,102.8756660289946,80,0,0,0
grouped_gemm-g2m1024,llm,5,5,0,0,0.08315199986100197,0.07958400249481201,4.48330977877438,-44.27407396644393,55.44728132101591,26,18535,3756,1
grouped_gemm-g2m1024,hybrid_lfbo_llm,5,5,0,0,0.08152000233530998,0.07958400249481201,2.4326495021712136,-45.36778877253016,176.4683310930268,80,18535,3816,1
grouped_gemm-g2m1024,contextual_rag_llm,5,5,0,0,0.08214399963617325,0.07958400249481201,3.216723287482459,-44.94960487447393,65.64352240099106,26,18535,3772,1
grouped_gemm-g4m512,lfbo,5,5,0,0,0.15668799728155136,0.0666240006685257,135.18251037058096,0.0,102.74251774000004,80,0,0,0
grouped_gemm-g4m512,llm,5,5,0,0,0.0711359977722168,0.0666240006685257,6.772329878746897,-54.60022528439552,54.528609077999135,26,18535,3849,1
grouped_gemm-g4m512,hybrid_lfbo_llm,5,5,0,0,0.07302399724721909,0.0666240006685257,9.606142703040742,-53.39528329282117,170.8502843590104,80,18535,3842,1
grouped_gemm-g4m512,contextual_rag_llm,5,5,0,0,0.07072000205516815,0.0666240006685257,6.147936697799472,-54.865718317854316,63.04833237599814,26,18535,3676,1
grouped_gemm-g8m512,lfbo,5,5,0,0,0.13732799887657166,0.07129599899053574,92.61669774036186,0.0,100.55240873698494,80,0,0,0
grouped_gemm-g8m512,llm,5,5,0,0,0.07657600194215775,0.07129599899053574,7.405749307647547,-44.23860933779199,54.184021007007686,26,18535,3793,1
grouped_gemm-g8m512,hybrid_lfbo_llm,5,5,0,0,0.07745600119233131,0.07129599899053574,8.64003911722071,-43.59780829403361,171.9426230280078,80,18535,3887,1
grouped_gemm-g8m512,contextual_rag_llm,5,5,0,0,0.07379200309515,0.07129599899053574,3.5009034727819577,-46.26587170947336,63.622518502001185,26,18535,3793,1
mamba2_chunk_scan-b1h4s2048ds128,lfbo,5,5,0,0,0.013472000136971474,0.010528000071644783,27.963526266074123,0.0,77.55372005596291,80,0,0,0
mamba2_chunk_scan-b1h4s2048ds128,llm,5,5,0,0,0.01104000024497509,0.010528000071644783,4.8632234977779465,-18.052255546837458,65.93152558902511,26,23325,3797,1
mamba2_chunk_scan-b1h4s2048ds128,hybrid_lfbo_llm,5,5,0,0,0.011231999844312668,0.010528000071644783,6.686927886370153,-16.62708038809716,135.94622254598653,80,23325,3811,1
mamba2_chunk_scan-b1h4s2048ds128,contextual_rag_llm,5,5,0,0,0.011136000044643879,0.010528000071644783,5.77507569207405,-17.33966796746731,72.45717701601097,26,34165,4401,1
mamba2_chunk_scan-b1h4s4096ds256,lfbo,5,5,0,0,0.019551999866962433,0.011103999800980091,76.08069360048692,0.0,79.84244397701696,80,0,0,0
mamba2_chunk_scan-b1h4s4096ds256,llm,5,5,0,0,0.015615999698638916,0.011103999800980091,40.63400557032229,-20.130933894768933,69.1106919660233,26,23325,3626,1
mamba2_chunk_scan-b1h4s4096ds256,hybrid_lfbo_llm,5,5,0,0,0.015519999898970127,0.011103999800980091,39.769454044841204,-20.621931236841352,140.82491907803342,80,23325,3850,1
mamba2_chunk_scan-b1h4s4096ds256,contextual_rag_llm,5,5,0,0,0.014879999682307243,0.011103999800980091,34.00576322951541,-23.89525478950928,74.78428915399127,26,34165,4739,1
mamba2_chunk_scan-b1h4s8192ds256,lfbo,5,5,0,0,0.03276799991726875,0.02131200022995472,53.75375170657257,0.0,77.50952513300581,80,0,0,0
mamba2_chunk_scan-b1h4s8192ds256,llm,5,5,0,0,0.025855999439954758,0.02131200022995472,21.321317384434412,-21.093751509903313,68.99765463802032,26,23325,3887,1
mamba2_chunk_scan-b1h4s8192ds256,hybrid_lfbo_llm,5,5,0,0,0.025696000084280968,0.02131200022995472,20.57056966508659,-21.58203079480856,142.52539383602561,80,23325,3698,1
mamba2_chunk_scan-b1h4s8192ds256,contextual_rag_llm,5,5,0,0,0.023744000121951103,0.02131200022995472,11.411410781509513,-27.539061944888488,75.96485556697007,26,34165,5028,1
matmul-1024x1024x1024,lfbo,5,5,0,0,0.023584000766277313,0.011648000217974186,102.47253026218632,0.0,57.47858350799652,80,0,0,0
matmul-1024x1024x1024,llm,5,5,0,0,0.01206399966031313,0.011648000217974186,3.5714237169828467,-48.8466788147183,52.51030880300095,26,15985,3690,1
matmul-1024x1024x1024,hybrid_lfbo_llm,5,5,0,0,0.01206399966031313,0.011648000217974186,3.5714237169828467,-48.8466788147183,103.35462051496143,80,15985,3699,1
matmul-1024x1024x1024,contextual_rag_llm,5,5,0,0,0.01196799986064434,0.011648000217974186,2.7472496281066183,-49.2537335829918,72.47629010799574,26,22785,4886,1
matmul-4096x4096x4096,lfbo,5,5,0,0,0.5244799852371216,0.20403200387954712,157.05770431326792,0.0,69.9804835129762,80,0,0,0
matmul-4096x4096x4096,llm,5,5,0,0,0.21079999953508377,0.20403200387954712,3.317124532841542,-59.80780859735202,55.37198263898608,26,16665,3373,1
matmul-4096x4096x4096,hybrid_lfbo_llm,5,5,0,0,0.21148799359798431,0.20403200387954712,3.654323624071698,-59.67663217837209,116.97725513298064,80,16665,3294,1
matmul-4096x4096x4096,contextual_rag_llm,5,5,0,0,0.20788799971342087,0.20403200387954712,1.8898975457547262,-60.36302517446246,66.23605717701139,26,23470,4069,1
matmul-8192x8192x8192,lfbo,5,5,0,0,3.8510398864746094,1.573248028755188,144.78275618890777,0.0,95.71663664100925,80,0,0,0
matmul-8192x8192x8192,llm,5,5,0,0,1.7185920476913452,1.573248028755188,9.238468205878437,-55.37329920348837,67.5812422609888,26,16665,3513,1
matmul-8192x8192x8192,hybrid_lfbo_llm,5,5,0,0,1.7034080028533936,1.573248028755188,8.27332828131322,-55.76758348216542,157.74457332500606,80,16665,3400,1
matmul-8192x8192x8192,contextual_rag_llm,5,5,0,0,1.7093119621276855,1.573248028755188,8.648600276979623,-55.61427529922429,74.22183610399952,26,23465,4219,1
matmul_split_k-64x1024x64,lfbo,5,5,0,0,0.009855999611318111,0.008383999578654766,17.557253180343444,0.0,63.05512925301446,80,0,0,0
matmul_split_k-64x1024x64,llm,5,5,0,0,0.010879999957978725,0.008383999578654766,29.770998386959,10.389614316590535,37.89309127200977,26,17530,3990,1
matmul_split_k-64x1024x64,hybrid_lfbo_llm,5,5,0,0,0.009472000412642956,0.008383999578654766,12.977109836195421,-3.8960959194254796,97.3376990169927,80,17530,3938,1
matmul_split_k-64x1024x64,contextual_rag_llm,5,5,0,0,0.011103999800980091,0.008383999578654766,32.44275237382295,12.662340086020718,45.307632000010926,26,17530,3996,1
matmul_split_k-64x16384x64,lfbo,5,5,0,0,0.03872000053524971,0.03206399828195572,20.758491173696548,0.0,35.58132349801599,80,0,0,0
matmul_split_k-64x16384x64,llm,5,5,0,0,0.20627200603485107,0.03206399828195572,543.3134265446002,432.7272809489407,30.197777542984113,26,17530,4068,1
matmul_split_k-64x16384x64,hybrid_lfbo_llm,5,5,0,0,0.03888000175356865,0.03206399828195572,21.25749699608952,0.41322628126845284,53.219947567005875,68,17530,4019,1
matmul_split_k-64x16384x64,contextual_rag_llm,5,5,0,0,0.20652799308300018,0.03206399828195572,544.1117893872441,433.3884045145669,34.7591786129924,26,17530,4099,1
matmul_split_k-64x65536x64,lfbo,5,5,0,0,0.10478400066494942,0.038656000047922134,171.06788217882837,0.0,36.049562276981305,80,0,0,0
matmul_split_k-64x65536x64,llm,5,5,0,0,0.27236799895763397,0.038656000047922134,604.5943672909181,159.9328115258172,31.35167464299593,26,17530,4072,1
matmul_split_k-64x65536x64,hybrid_lfbo_llm,5,5,0,0,0.1143679991364479,0.038656000047922134,195.8609245515962,9.146433053404458,53.621097821043804,68,17530,4026,1
matmul_split_k-64x65536x64,contextual_rag_llm,5,5,0,0,0.27164798974990845,0.038656000047922134,602.731760692116,159.24567493706658,35.43139150500065,26,17530,3916,1
rms_norm-4096x1024,lfbo,5,5,0,0,0.018688000738620758,0.016063999384641647,16.334670408963326,0.0,69.04879269504454,80,0,0,0
rms_norm-4096x1024,llm,5,5,0,0,0.0161920003592968,0.016063999384641647,0.7968188468528536,-13.356165885448124,53.73246580502018,26,17950,4058,1
rms_norm-4096x1024,hybrid_lfbo_llm,5,5,0,0,0.016256000846624374,0.016063999384641647,1.1952282702792916,-13.013697537855906,119.99728169001173,80,17950,4246,1
rms_norm-4096x1024,contextual_rag_llm,5,5,0,0,0.016256000846624374,0.016063999384641647,1.1952282702792916,-13.013697537855906,62.62960753397783,26,24630,4781,1
rms_norm-4096x32768,lfbo,5,5,0,0,0.4981760084629059,0.49132800102233887,1.393775120961549,0.0,132.52820401702775,80,0,0,0
rms_norm-4096x32768,llm,5,5,0,0,0.4920639991760254,0.49132800102233887,0.1497977221235347,-1.2268774856779574,62.249946403026115,26,17955,4574,1
rms_norm-4096x32768,hybrid_lfbo_llm,5,5,0,0,0.492031991481781,0.49132800102233887,0.14328319533536416,-1.233302462734387,202.73591856699204,80,17955,4636,1
rms_norm-4096x32768,contextual_rag_llm,5,5,0,0,0.49161601066589355,0.49132800102233887,0.058618609758731566,-1.3168032353169434,70.14614939200692,26,24590,5086,1
rms_norm-4096x8192,lfbo,5,5,0,0,0.130048006772995,0.1281599998474121,1.4731639574210087,0.0,74.23040953901364,80,0,0,0
rms_norm-4096x8192,llm,5,5,0,0,0.12825599312782288,0.1281599998474121,0.07490112400518889,-1.3779631765523104,56.08045740099624,26,17955,4712,1
rms_norm-4096x8192,hybrid_lfbo_llm,5,5,0,0,0.12848000228405,0.1281599998474121,0.2496897916813845,-1.2057120503830787,178.52458277496044,80,17955,4482,1
rms_norm-4096x8192,contextual_rag_llm,5,5,0,0,0.12828800082206726,0.1281599998474121,0.0998759166725538,-1.353350962156541,67.37980843702098,26,24590,5423,1
rope-1x4x2x2048x128,lfbo,5,5,0,0,0.009216000325977802,0.00825599953532219,11.627917207945293,0.0,266.69425546296407,80,0,0,0
rope-1x4x2x2048x128,llm,5,5,0,0,0.010080000385642052,0.00825599953532219,22.09303479870752,9.375000315796767,109.8570729289786,26,19470,2793,1
rope-1x4x2x2048x128,hybrid_lfbo_llm,5,5,0,0,0.010015999898314476,0.00825599953532219,21.3178350539188,8.680550608072979,411.96923521801364,80,19470,3087,1
rope-1x4x2x2048x128,contextual_rag_llm,5,5,0,0,0.010111999697983265,0.00825599953532219,22.480623390546796,9.72221506416233,141.4309634650126,26,19470,2948,1
rope-1x4x2x512x128,lfbo,5,5,0,0,0.00723200011998415,0.006688000168651342,8.133970359072329,0.0,207.64203916594852,80,0,0,0
rope-1x4x2x512x128,llm,5,5,0,0,0.0080960001796484,0.006688000168651342,21.0526312124927,11.94690328166288,94.88654962199507,26,19445,2913,1
