outcome,numerator_arm,denominator_arm,baseline_display,geometric_mean_ratio,ci_low,ci_high,kernels,wilcoxon_p,rank_biserial,wins,ties,losses,matched_blocks,total_blocks,joint_success_coverage,holm_p
selected_latency_ms,llm,lfbo,True,0.8954642370610012,0.7721591328288838,1.057207519267988,33,0.06498370366171002,0.375,19,1,13,164,165,0.9939393939393939,0.12996740732342005
selected_latency_ms,hybrid_lfbo_llm,lfbo,True,0.8289891475127857,0.748082212104362,0.9095692496470984,33,0.00207323394715786,0.6060606060606061,22,1,10,164,165,0.9939393939393939,0.012439403682947159
selected_latency_ms,contextual_rag_llm,lfbo,True,0.8868389721708759,0.7643117573450711,1.049387840307356,33,0.02183601539582014,0.45454545454545453,24,0,9,164,165,0.9939393939393939,0.06550804618746042
selected_latency_ms,hybrid_lfbo_llm,llm,False,0.9149182049914192,0.8100131464391896,0.9861956567895407,33,0.005382779985666275,0.5698924731182796,22,3,8,164,165,0.9939393939393939,0.026913899928331375
selected_latency_ms,contextual_rag_llm,llm,False,0.9812527451125501,0.9641247316344365,0.9940261367210598,33,0.008589296601712704,0.532258064516129,21,2,10,164,165,0.9939393939393939,0.034357186406850815
selected_latency_ms,contextual_rag_llm,hybrid_lfbo_llm,False,1.0729932856360453,0.9943140641760829,1.2154533533822425,33,0.8187158077489585,-0.0481283422459893,18,0,15,164,165,0.9939393939393939,0.8187158077489585
readiness_seconds,llm,lfbo,True,0.5785533683968831,0.5274182350027848,0.6352110282042995,33,2.3283064365386963e-10,1.0,33,0,0,164,165,0.9939393939393939,2.7939677238464355e-09
readiness_seconds,hybrid_lfbo_llm,lfbo,True,1.5425765062427774,1.5045361939742898,1.583587639440135,33,2.3283064365386963e-10,-1.0,0,0,33,164,165,0.9939393939393939,2.7939677238464355e-09
readiness_seconds,contextual_rag_llm,lfbo,True,0.6651476259831581,0.5999641378474725,0.7377030099977843,33,3.189779818058014e-08,0.946524064171123,30,0,3,164,165,0.9939393939393939,2.2328458726406097e-07
readiness_seconds,hybrid_lfbo_llm,llm,False,2.7242743800486444,2.5237476279009883,2.932198905340966,33,2.3283064365386963e-10,-1.0,0,0,33,164,165,0.9939393939393939,2.7939677238464355e-09
readiness_seconds,contextual_rag_llm,llm,False,1.142745020842674,1.119292232041268,1.1675318115742748,33,4.656612873077393e-10,-0.9964349376114082,1,0,32,164,165,0.9939393939393939,3.725290298461914e-09
readiness_seconds,contextual_rag_llm,hybrid_lfbo_llm,False,0.42042737708035127,0.38787825647539,0.4570098360796223,33,2.3283064365386963e-10,1.0,33,0,0,164,165,0.9939393939393939,2.7939677238464355e-09
